item_id,phase,condition,branch,layer,token_id,score,raw_rank
0,heldout,clean_preserved,correctness,38,97817,10.8125,81
0,heldout,clean_preserved,correctness,38,99973,11.4375,50
0,heldout,clean_preserved,correctness,38,75075,2.734375,20097
0,heldout,clean_preserved,correctness,40,97817,11.9375,49
0,heldout,clean_preserved,correctness,40,99973,12.5,33
0,heldout,clean_preserved,correctness,40,75075,2.203125,24369
0,heldout,clean_preserved,correctness,42,97817,14.25,15
0,heldout,clean_preserved,correctness,42,99973,14.6875,10
0,heldout,clean_preserved,correctness,42,75075,1.46875,48978
0,heldout,clean_preserved,confidence,38,97817,9.3125,112
0,heldout,clean_preserved,confidence,38,99973,12.0625,29
0,heldout,clean_preserved,confidence,38,75075,2.78125,21807
0,heldout,clean_preserved,confidence,40,97817,9.5625,105
0,heldout,clean_preserved,confidence,40,99973,12.25,25
0,heldout,clean_preserved,confidence,40,75075,2.609375,21631
0,heldout,clean_preserved,confidence,42,97817,10.0625,79
0,heldout,clean_preserved,confidence,42,99973,12.9375,16
0,heldout,clean_preserved,confidence,42,75075,2.75,18127
0,heldout,targeted_strong_preserved,correctness,38,97817,10.75,85
0,heldout,targeted_strong_preserved,correctness,38,99973,11.4375,50
0,heldout,targeted_strong_preserved,correctness,38,75075,2.796875,19421
0,heldout,targeted_strong_preserved,correctness,40,97817,11.9375,49
0,heldout,targeted_strong_preserved,correctness,40,99973,12.5,33
0,heldout,targeted_strong_preserved,correctness,40,75075,2.25,23954
0,heldout,targeted_strong_preserved,correctness,42,97817,14.3125,15
0,heldout,targeted_strong_preserved,correctness,42,99973,14.6875,11
0,heldout,targeted_strong_preserved,correctness,42,75075,1.453125,49713
0,heldout,targeted_strong_preserved,confidence,38,97817,9.3125,115
0,heldout,targeted_strong_preserved,confidence,38,99973,12.0625,28
0,heldout,targeted_strong_preserved,confidence,38,75075,2.8125,21570
0,heldout,targeted_strong_preserved,confidence,40,97817,9.5625,106
0,heldout,targeted_strong_preserved,confidence,40,99973,12.25,25
0,heldout,targeted_strong_preserved,confidence,40,75075,2.609375,21951
0,heldout,targeted_strong_preserved,confidence,42,97817,10.0,83
0,heldout,targeted_strong_preserved,confidence,42,99973,12.9375,15
0,heldout,targeted_strong_preserved,confidence,42,75075,2.703125,18877
0,heldout,random_strong_preserved,correctness,38,97817,10.8125,82
0,heldout,random_strong_preserved,correctness,38,99973,11.5,48
0,heldout,random_strong_preserved,correctness,38,75075,2.75,19706
0,heldout,random_strong_preserved,correctness,40,97817,11.9375,49
0,heldout,random_strong_preserved,correctness,40,99973,12.5,33
0,heldout,random_strong_preserved,correctness,40,75075,2.203125,24327
0,heldout,random_strong_preserved,correctness,42,97817,14.25,15
0,heldout,random_strong_preserved,correctness,42,99973,14.6875,10
0,heldout,random_strong_preserved,correctness,42,75075,1.4609375,48806
0,heldout,random_strong_preserved,confidence,38,97817,9.375,109
