item_id,item_type,condition,domain,difficulty,analysis_family,is_primary_estimand,attempt_order,intervention_mode,intervention_scope,direction_source_selector,direction_source_position,localized_target_selector,localized_target_position,applied_prompt_position_count,steer_generated,max_injection_fraction,requested_strength,effective_strength_after_cap,feature_label,feature_id,token_id,direction_sha256,layer,layer_selection_reason,raw_rank,word_filtered_rank,rank_policy,baseline_output_raw,baseline_output_normalized,intervened_output_raw,intervened_output_normalized,baseline_valid,intervened_valid,labels,expected_judgment,factual_correct,baseline_judgment_correct,intervened_judgment_correct,baseline_margin,intervened_margin,delta_margin,baseline_oriented_margin,intervened_oriented_margin,delta_oriented_margin,candidate_score_before,candidate_score_after,flipped,flip_effect,generated_positions_steered,duration_seconds
0,calibration,self,physics,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,74,28,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.265556201877189,-8.859563991742789,11.125120193619978,2.265556201877189,-8.859563991742789,10.5625,-28.625,False,no_flip,True,1.3252889644354582
0,calibration,other,physics,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,14,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,0.8795450066681951,-8.870592323747701,9.750137330415896,0.8795450066681951,-8.870592323747701,13.125,-28.0,False,no_flip,True,1.2895913571119308
0,calibration,self,physics,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,74,28,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.193521945606335,-8.931598248013643,11.125120193619978,2.193521945606335,-8.931598248013643,10.5625,-28.625,False,no_flip,True,1.2852887231856585
0,calibration,other,physics,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,14,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,0.8800366036302876,-8.870100726785608,9.750137330415896,0.8800366036302876,-8.870100726785608,13.125,-28.0,False,no_flip,True,1.3825323320925236
66,prospective,self,chemistry,easy,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,36,,,52,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,27,5,raw_rank,PASS,PASS,PASS,PASS,True,True,PASS/FAIL,PASS,True,True,True,12.250000238445864,2.437499985098839,-9.812500253347025,12.250000238445864,2.437499985098839,-9.812500253347025,12.25,-28.875,False,no_flip,True,0.7334852386265993
66,prospective,other,chemistry,easy,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,36,,,52,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,45,14,raw_rank,PASS,PASS,PASS,PASS,True,True,PASS/FAIL,PASS,True,True,True,10.499999523613951,2.062500089406967,-8.437499434206984,10.499999523613951,2.062500089406967,-8.437499434206984,11.25,-28.875,False,no_flip,True,0.7257571276277304
66,prospective,self,chemistry,easy,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,36,,,52,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,27,5,raw_rank,PASS,PASS,PASS,PASS,True,True,PASS/FAIL,PASS,True,True,True,12.250000238445864,2.5000000298023224,-9.750000208643542,12.250000238445864,2.5000000298023224,-9.750000208643542,12.25,-28.875,False,no_flip,True,0.7271522134542465
66,prospective,other,chemistry,easy,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,36,,,52,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,45,14,raw_rank,PASS,PASS,PASS,PASS,True,True,PASS/FAIL,PASS,True,True,True,10.499999523613951,2.1250000298023224,-8.374999493811629,10.499999523613951,2.1250000298023224,-8.374999493811629,11.25,-28.875,False,no_flip,True,0.7314023301005363
73,prospective,self,neuroscience,hard,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,94,,,110,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,14,1,raw_rank,FAIL,FAIL,FAIL,FAIL,True,True,PASS/FAIL,FAIL,False,True,True,-2.1250000968575478,-0.4375,1.6875000968575478,2.1250000968575478,0.4375,-1.6875000968575478,12.875,-27.875,False,no_flip,True,0.7161861900240183
73,prospective,other,neuroscience,hard,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,94,,,110,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,34,11,raw_rank,FAIL,FAIL,FAIL,FAIL,True,True,PASS/FAIL,FAIL,False,True,True,-1.8749999105930328,-0.125,1.7499999105930328,1.8749999105930328,0.125,-1.7499999105930328,10.5,-28.25,False,no_flip,True,0.7342666406184435
