item_id,item_type,condition,domain,difficulty,analysis_family,is_primary_estimand,attempt_order,intervention_mode,intervention_scope,direction_source_selector,direction_source_position,localized_target_selector,localized_target_position,applied_prompt_position_count,steer_generated,max_injection_fraction,requested_strength,effective_strength_after_cap,feature_label,feature_id,token_id,direction_sha256,layer,layer_selection_reason,raw_rank,word_filtered_rank,rank_policy,baseline_output_raw,baseline_output_normalized,intervened_output_raw,intervened_output_normalized,baseline_valid,intervened_valid,labels,expected_judgment,factual_correct,baseline_judgment_correct,intervened_judgment_correct,baseline_margin,intervened_margin,delta_margin,baseline_oriented_margin,intervened_oriented_margin,delta_oriented_margin,candidate_score_before,candidate_score_after,flipped,flip_effect,generated_positions_steered,duration_seconds
0,calibration,self,physics,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,74,28,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.265556201877189,-8.859563991742789,11.125120193619978,2.265556201877189,-8.859563991742789,10.5625,-28.625,False,no_flip,True,1.309644676744938
0,calibration,other,physics,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,14,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,0.8795450066681951,-8.870592323747701,9.750137330415896,0.8795450066681951,-8.870592323747701,13.125,-28.0,False,no_flip,True,1.5700150523334742
0,calibration,self,physics,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,74,28,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.193521945606335,-8.931598248013643,11.125120193619978,2.193521945606335,-8.931598248013643,10.5625,-28.625,False,no_flip,True,1.2984854839742184
0,calibration,other,physics,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,14,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,0.8800366036302876,-8.870100726785608,9.750137330415896,0.8800366036302876,-8.870100726785608,13.125,-28.0,False,no_flip,True,1.3014103639870882
1,calibration,self,astronomy,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,59,27,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,12.750043398727712,2.1567870343569666,-10.593256364370745,12.750043398727712,2.1567870343569666,-10.593256364370745,10.875,-28.5,False,no_flip,True,1.278976820409298
1,calibration,other,astronomy,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,15,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.625119209112881,1.0430270694196224,-9.582092139693259,10.625119209112881,1.0430270694196224,-9.582092139693259,12.875,-28.0,False,no_flip,True,1.2921240627765656
1,calibration,self,astronomy,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,59,27,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,12.750043398727712,2.1540062890635454,-10.596037109664167,12.750043398727712,2.1540062890635454,-10.596037109664167,10.875,-28.5,False,no_flip,True,1.300468472763896
1,calibration,other,astronomy,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,15,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.625119209112881,1.0347326664777938,-9.590386542635088,10.625119209112881,1.0347326664777938,-9.590386542635088,12.875,-28.0,False,no_flip,True,1.3749566115438938
2,calibration,self,geography,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,75,32,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,6.250055580101389,0.87934259751637,-5.370712982585019,6.250055580101389,0.87934259751637,-5.370712982585019,10.5625,-28.5,False,no_flip,True,1.2878200747072697
2,calibration,other,geography,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,18,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,8.37507897664409,0.629958454563166,-7.745120522080924,8.37507897664409,0.629958454563166,-7.745120522080924,12.75,-27.875,False,no_flip,True,1.2810361478477716
2,calibration,self,geography,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,75,32,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,6.250055580101389,0.8789349212747766,-5.371120658826612,6.250055580101389,0.8789349212747766,-5.371120658826612,10.5625,-28.5,False,no_flip,True,1.2776204217225313
2,calibration,other,geography,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,18,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,8.37507897664409,0.629631743664504,-7.745447232979586,8.37507897664409,0.629631743664504,-7.745447232979586,12.75,-27.875,False,no_flip,True,1.2857486195862293
3,calibration,self,biology,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,72,,,91,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,52,24,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,13.187558110143073,2.142060109632439,-11.045498000510634,13.187558110143073,2.142060109632439,-11.045498000510634,11.5,-28.75,False,no_flip,True,1.283749608322978
3,calibration,other,biology,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,72,,,91,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,11,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.12513876683397,0.8906857861438766,-9.234452980690094,10.12513876683397,0.8906857861438766,-9.234452980690094,13.375,-28.0,False,no_flip,True,1.2795192748308182
3,calibration,self,biology,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,72,,,91,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,52,24,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,13.187558110143073,2.2654921819485025,-10.92206592819457,13.187558110143073,2.2654921819485025,-10.92206592819457,11.5,-28.75,False,no_flip,True,1.2789921388030052
3,calibration,other,biology,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,72,,,91,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,11,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.12513876683397,1.0181731128250249,-9.106965654008945,10.12513876683397,1.0181731128250249,-9.106965654008945,13.375,-28.0,False,no_flip,True,1.2911643497645855
4,calibration,self,chemistry,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,85,32,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.062635756588406,2.40389564986981,-8.658740106718597,11.062635756588406,2.40389564986981,-8.658740106718597,10.3125,-28.625,False,no_flip,True,1.2826075721532106
4,calibration,other,chemistry,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.000142574426945,1.25231398975302,-9.747828584673925,11.000142574426945,1.25231398975302,-9.747828584673925,13.375,-28.0,False,no_flip,True,1.276288628578186
4,calibration,self,chemistry,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,85,32,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.062635756588406,2.2781993213138776,-8.784436435274529,11.062635756588406,2.2781993213138776,-8.784436435274529,10.3125,-28.75,False,no_flip,True,1.2867148276418447
4,calibration,other,chemistry,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.000142574426945,1.2522759841376683,-9.747866590289277,11.000142574426945,1.2522759841376683,-9.747866590289277,13.375,-28.0,False,no_flip,True,1.278411565348506
5,calibration,self,geography,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,82,,,101,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,31,12,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.000151284741833,2.7028849489288405,-8.297266335812992,11.000151284741833,2.7028849489288405,-8.297266335812992,12.0625,-28.5,False,no_flip,True,1.342739012092352
5,calibration,other,geography,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,82,,,101,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,16,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.625927759947217,1.385536725691054,-10.240391034256163,11.625927759947217,1.385536725691054,-10.240391034256163,13.0,-28.0,False,no_flip,True,1.384649120271206
5,calibration,self,geography,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,82,,,101,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,31,12,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.000151284741833,2.700442689092597,-8.299708595649236,11.000151284741833,2.700442689092597,-8.299708595649236,12.0625,-28.5,False,no_flip,True,1.3486211448907852
5,calibration,other,geography,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,82,,,101,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,16,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.625927759947217,1.3850081821728963,-10.24091957777432,11.625927759947217,1.3850081821728963,-10.24091957777432,13.0,-28.0,False,no_flip,True,1.31602893024683
6,calibration,self,biology,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,78,,,97,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,59,25,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.87511358231609,1.879157046219916,-8.995956536096173,10.87511358231609,1.879157046219916,-8.995956536096173,10.9375,-28.625,False,no_flip,True,1.2941054198890924
6,calibration,other,biology,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,78,,,97,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,13,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.375093102932738,0.7542411232716404,-10.620851979661097,11.375093102932738,0.7542411232716404,-10.620851979661097,13.0625,-28.125,False,no_flip,True,1.2758596204221249
6,calibration,self,biology,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,78,,,97,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,59,25,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.87511358231609,1.8792135723488173,-8.995900009967272,10.87511358231609,1.8792135723488173,-8.995900009967272,10.9375,-28.625,False,no_flip,True,1.290866894647479
6,calibration,other,biology,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,78,,,97,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,13,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.375093102932738,0.7541458985069767,-10.620947204425761,11.375093102932738,0.7541458985069767,-10.620947204425761,13.0625,-28.125,False,no_flip,True,1.2808521874248981
7,calibration,self,physics,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,73,,,92,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,44,17,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,13.250052297784805,2.7649815155527904,-10.485070782232015,13.250052297784805,2.7649815155527904,-10.485070782232015,11.375,-28.625,False,no_flip,True,1.281225923448801
7,calibration,other,physics,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,73,,,92,True,1.0,-1.7,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,13,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.3750919246163,1.2762676997226663,-8.098824224893633,9.3750919246163,1.2762676997226663,-8.098824224893633,13.1875,-28.0,False,no_flip,True,1.2825581319630146
7,calibration,self,physics,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,73,,,92,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,44,17,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,13.250052297784805,2.7637862422925537,-10.486266055492251,13.250052297784805,2.7637862422925537,-10.486266055492251,11.375,-28.625,False,no_flip,True,1.2836986109614372
7,calibration,other,physics,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,73,,,92,True,1.0,-1.8,-1.0,评价,vocab_token:97817,97817,8a87e6e3f1867b77d6b1e41a3304949df1310120316964b73eb3391f0877cfb6,40,frozen_layer_40_no_rank_gate,13,3,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.3750919246163,1.1550449022761313,-8.220047022340168,9.3750919246163,1.1550449022761313,-8.220047022340168,13.1875,-28.0,False,no_flip,True,1.301068926230073
